name,id,popularity,followers,genres,spotify_url
Ryan Elliott,3SZBUeVJfGLUpAPNEQbBKk,19,10257,"dub techno, techno",https://open.spotify.com/artist/3SZBUeVJfGLUpAPNEQbBKk
Christian AB,4n1PeH8V6WAR4stTKmb3ey,12,1019,rally house,https://open.spotify.com/artist/4n1PeH8V6WAR4stTKmb3ey
Craig Richards,6EVc5gJQXiUl586m1NFCNH,15,7369,,https://open.spotify.com/artist/6EVc5gJQXiUl586m1NFCNH
Harry McCanna,6mfdByecMaqGMtNQGMoe20,1,89,,https://open.spotify.com/artist/6mfdByecMaqGMtNQGMoe20
Mystery Guest,2SiwiuGghbiWjdxiRf8BsC,0,214,,https://open.spotify.com/artist/2SiwiuGghbiWjdxiRf8BsC
Aida Arko,5j2swFp6NPSDgQlCNUCj0v,21,2686,"hard techno, acid techno, techno",https://open.spotify.com/artist/5j2swFp6NPSDgQlCNUCj0v
Florence Massea,5yQWB8vKn6fHtxHR0sx9FF,3,185,,https://open.spotify.com/artist/5yQWB8vKn6fHtxHR0sx9FF
Kahn,6X0Kd3L9wHWDzWU7cOgjW3,27,19980,"dubstep, dub, grime, bass music",https://open.spotify.com/artist/6X0Kd3L9wHWDzWU7cOgjW3
Neeka Kahnewal,5jjUGrIjn6MQ9YfQ96P9KF,0,4,,https://open.spotify.com/artist/5jjUGrIjn6MQ9YfQ96P9KF
King Shiloh,1MErrx2tvoB6nXjXTiwNTv,13,273,"dub, roots reggae",https://open.spotify.com/artist/1MErrx2tvoB6nXjXTiwNTv
Dr Quincys Mystical Sound Advice,7EGeOUtsfm4twhmz8Bcwa3,8,277,,https://open.spotify.com/artist/7EGeOUtsfm4twhmz8Bcwa3
NEEK,6df3Z4ytZyFOtXyvMAsvuK,46,22542,"hard techno, techno, tekno, hardcore techno",https://open.spotify.com/artist/6df3Z4ytZyFOtXyvMAsvuK
SOLIT,1VEfHMtuCcSecy38nVKJi8,6,129,"hard house, acid house",https://open.spotify.com/artist/1VEfHMtuCcSecy38nVKJi8
Vibronics,1nLw9CVpFRIjloeNQZteT3,37,36010,"dub, reggae, roots reggae, ragga",https://open.spotify.com/artist/1nLw9CVpFRIjloeNQZteT3
