Datum,Tmax,Tmin,Neerslag,Max Windstoot,Opmerkingen
6/10/2022,21.7 °C,14.1 °C,"0,0 mm",32.2 km/u,
6/9/2022,20.1 °C,13.7 °C,"0,0 mm",24.1 km/u,
6/8/2022,19.3 °C,13.8 °C,"4,2 mm",25.7 km/u,
6/7/2022,18.1 °C,12.8 °C,"0,2 mm",29.0 km/u,
6/6/2022,16.4 °C,12.1 °C,"8,2 mm",40.2 km/u,
6/5/2022,20.4 °C,13.0 °C,"41,8 mm",25.7 km/u,
6/4/2022,20.5 °C,11.7 °C,"0,0 mm",32.2 km/u,
6/3/2022,23.5 °C,11.4 °C,"0,0 mm",33.8 km/u,
6/2/2022,19.5 °C,7.8 °C,"0,0 mm",19.3 km/u,
6/1/2022,15.2 °C,9.8 °C,"1,4 mm",27.4 km/u,
Datum,Tmax,Tmin,Neerslag,Max Windstoot,Opmerkingen
4/19/2025,14.6 °C,6.3 °C,"0,0 mm",22.5 km/u,data tot 21:03u
4/18/2025,17.1 °C,8.2 °C,"0,0 mm",16.1 km/u,
4/17/2025,13.6 °C,9.2 °C,"0,0 mm",16.1 km/u,
4/16/2025,12.8 °C,9.9 °C,"0,0 mm",22.5 km/u,
4/15/2025,22.1 °C,11.2 °C,"2,8 mm",32.2 km/u,
4/14/2025,18.9 °C,10.1 °C,"0,0 mm",24.1 km/u,
4/13/2025,18.3 °C,11.9 °C,"4,2 mm",30.6 km/u,
4/12/2025,23.4 °C,6.7 °C,"0,0 mm",27.4 km/u,
4/11/2025,16.9 °C,6.4 °C,"0,0 mm",20.9 km/u,
4/10/2025,14.7 °C,6.6 °C,"0,0 mm",24.1 km/u,
4/9/2025,11.8 °C,4.4 °C,"0,0 mm",29.0 km/u,
4/8/2025,15.1 °C,4.7 °C,"0,0 mm",19.3 km/u,
4/7/2025,14.7 °C,2.8 °C,"0,0 mm",22.5 km/u,
4/6/2025,13.2 °C,4.2 °C,"0,0 mm",27.4 km/u,
4/5/2025,15.4 °C,6.8 °C,"0,0 mm",38.6 km/u,
4/4/2025,21.8 °C,6.8 °C,"0,0 mm",27.4 km/u,
4/3/2025,21.3 °C,8.2 °C,"0,0 mm",27.4 km/u,
4/2/2025,18.2 °C,6.6 °C,"0,0 mm",29.0 km/u,
4/1/2025,15.9 °C,3.7 °C,"0,0 mm",24.1 km/u,
3/31/2025,13.8 °C,5.7 °C,"0,0 mm",29.0 km/u,
3/30/2025,12.7 °C,8.1 °C,"0,2 mm",48.3 km/u,
3/29/2025,11.7 °C,5.4 °C,"0,0 mm",30.6 km/u,
3/28/2025,11.2 °C,6.1 °C,"0,0 mm",29.0 km/u,
3/27/2025,16.2 °C,3.2 °C,"0,0 mm",16.1 km/u,
3/26/2025,12.6 °C,4.7 °C,"0,0 mm",22.5 km/u,
3/25/2025,12.1 °C,6.4 °C,"0,0 mm",22.5 km/u,
3/24/2025,14.0 °C,5.9 °C,"0,0 mm",20.9 km/u,
3/23/2025,18.5 °C,10.6 °C,"0,0 mm",17.7 km/u,
3/22/2025,19.7 °C,12.3 °C,"0,0 mm",27.4 km/u,
3/21/2025,21.7 °C,5.8 °C,"0,0 mm",30.6 km/u,
3/20/2025,19.9 °C,5.5 °C,"0,0 mm",17.7 km/u,
3/19/2025,18.1 °C,1.2 °C,"0,0 mm",19.3 km/u,
3/18/2025,12.7 °C,-0.1 °C,"0,0 mm",24.1 km/u,
